iter	Logloss
0	0.6406622457
1	0.6137928326
2	0.5995857697
3	0.5857243139
4	0.5761676425
5	0.5692727658
6	0.5617929926
7	0.5527335555
8	0.5474460861
9	0.5406295876
10	0.536025764
11	0.5325076062
12	0.5286228589
13	0.5240828981
14	0.5205117431
15	0.5165904102
16	0.5145012219
17	0.5118577719
18	0.5090509664
19	0.5057398048
20	0.5030475451
21	0.5016032699
22	0.4981427208
23	0.4958096275
24	0.4940299252
25	0.491834155
26	0.4893883324
27	0.4866401948
28	0.4851836127
29	0.4837846524
30	0.4808458175
31	0.4798997538
32	0.4784459974
33	0.4771758793
34	0.4752904873
35	0.4744536936
36	0.4734964286
37	0.4720093507
38	0.4707615446
39	0.469665623
40	0.4688372296
41	0.4675593548
42	0.4662581487
43	0.4653470937
44	0.4644891906
45	0.4636067125
46	0.4628257706
47	0.4616566868
48	0.4606097729
49	0.459743142
50	0.4585300959
51	0.4578350633
52	0.457231921
53	0.4564328196
54	0.4557772985
55	0.4552041673
56	0.4546881059
57	0.4539113821
58	0.4533143755
59	0.4526678964
60	0.4521968459
61	0.4516450577
62	0.4510154523
63	0.4503234905
64	0.4496761373
65	0.4487093163
66	0.4481975081
67	0.4476766615
68	0.4472134047
69	0.4464440932
70	0.4460323213
71	0.4455685099
72	0.445139338
73	0.4446801397
74	0.443369931
75	0.4428331431
76	0.4423894209
77	0.4417561849
78	0.4413623466
79	0.4408023845
80	0.4404423389
81	0.4400651325
82	0.4396816576
83	0.439293256
84	0.4389336298
85	0.4386187439
86	0.438154753
87	0.4375682454
88	0.4370082308
89	0.4366665811
90	0.4364097898
91	0.4361120126
92	0.4357760219
93	0.4355334298
94	0.435256069
95	0.4346765868
96	0.4343951694
97	0.4341394346
98	0.433870431
99	0.4330346936
100	0.4328133286
101	0.4325652223
102	0.4322962811
103	0.4319704232
104	0.4315022384
105	0.4312540706
106	0.4310108654
107	0.4305465092
108	0.4302996752
109	0.4300887639
110	0.4298573712
111	0.429630486
112	0.4292738001
113	0.429092781
114	0.4289119992
115	0.428740164
116	0.4285870961
117	0.4282059879
118	0.4279966101
119	0.4278293394
120	0.4275336744
121	0.4273166269
122	0.4271490984
123	0.4269607951
124	0.4266225277
125	0.4264501997
126	0.42628133
127	0.4261164203
128	0.4259432675
129	0.4256827296
130	0.4255450266
131	0.4252844082
132	0.4251378229
133	0.4249727628
134	0.4248229971
135	0.4244660114
136	0.424332383
137	0.4241879633
138	0.4239379616
139	0.4238391763
140	0.4237072485
141	0.4228882102
142	0.4227561748
143	0.4224879642
144	0.422378741
145	0.4222701176
146	0.4220853683
147	0.4218271972
148	0.4217151551
149	0.4215549304
150	0.4213994145
151	0.4212876452
152	0.4211512053
153	0.4209616757
154	0.4204588534
155	0.4203490765
156	0.4202432555
157	0.4200950072
158	0.4199881416
159	0.4198771913
160	0.4197492369
161	0.4196556145
162	0.4195424095
163	0.419432388
164	0.4193362957
165	0.419221387
166	0.4191225222
167	0.4189735405
168	0.4188575374
169	0.4186484375
170	0.4185576526
171	0.4184639941
172	0.4183762423
173	0.4182942926
174	0.4181474922
175	0.4180622258
176	0.4179885582
177	0.4178809609
178	0.4177835651
179	0.4177039303
180	0.4176178748
181	0.4175505733
182	0.417490047
183	0.4173955272
184	0.4172847578
185	0.4172149213
186	0.4171337354
187	0.4168392243
188	0.4167576826
189	0.4166760641
190	0.4166038779
191	0.4165203376
192	0.4164436716
193	0.4163719365
194	0.4162286673
195	0.4161133749
196	0.4160559613
197	0.4159727559
198	0.4158111359
199	0.4157443529
